ID,Category,Priority,File,Line,Description,Impact,Effort (hours),Sprint,Status,Assignee,Notes
D001,Circular Dependency,P0,DialogueNodeData.cs,67,Move condition logic to Integration assembly,Blocks dialogue expansion,8,Sprint 1,Not Started,,Extract IDialogueCondition
D002,Circular Dependency,P0,DialogueNodeData.cs,74,Move condition logic to Integration assembly,Blocks relationship tracking,8,Sprint 1,Not Started,,Extract IDialogueCondition
D003,Circular Dependency,P0,DialogueNodeData.cs,81,Move condition logic to Gameplay assembly,Blocks quest-gated dialogue,8,Sprint 1,Not Started,,Extract IDialogueCondition
D004,Circular Dependency,P0,DialogueNodeData.cs,277,Data assembly cannot reference Integration,Blocks cross-system conditions,8,Sprint 1,Not Started,,Extract IDialogueCondition
D005,Legacy System,P0,SaveManager.cs,381,Compression - use Serialization assembly,Blocks save optimization,4,Sprint 4,Not Started,,Use CompressionHelper
D006,Legacy System,P0,SaveManager.cs,456,Agent 9 backward compat - try old JSON saves,Blocks save migration,12,Sprint 4,Not Started,,Remove JSON fallback
D007,Legacy System,P0,SaveManager.cs,795,Auto-detect compression,Blocks cloud save support,4,Sprint 4,Not Started,,Implement auto-detect
D008,Architecture,P0,PlayerAbilities.cs,43,Integrate with ResonanceScoreSystem (ECS),Blocks ability scaling,16,Sprint 5,Not Started,,ECS integration
D009,Architecture,P0,PlayerAbilities.cs,75,Integrate with ResonanceScoreSystem,Blocks buff system,16,Sprint 5,Not Started,,ECS integration
D010,Feature Gap,P0,TelemetryService.cs,237,Implement cloud upload,Blocks analytics pipeline,20,Sprint 7,Not Started,,Unity Cloud Diagnostics
D011,Feature Gap,P0,TelemetryService.cs,306,Implement queue persistence,Blocks crash recovery,8,Sprint 7,Not Started,,Persist to disk
D012,Content,P0,AetherResonanceSystem.cs,8,Implement full aether resonance mechanics,Blocks Moon 6-13 gameplay,40,Q4 2026,Not Started,,Core mechanic
D013,God Object,P0,Moon10ContentSpawner.cs,1-1600,Split 1600-line class into 5 focused classes,Blocks DLC development,40,Sprint 1,Not Started,,Split into Architecture/Rail/Boss/Puzzle/VFX
D014,God Object,P0,AudioManager.cs,1-600,Split 600-line class into 4 focused classes,Blocks audio expansion,40,Sprint 2,Not Started,,Split into SFX/Music/Tone/Mixer
D015,God Object,P0,UIManager.cs,1-150,Split 150-line class into focused managers,Blocks UI expansion,40,Sprint 2,Not Started,,Enforce single-responsibility
D016,Magic Numbers,P0,All Moon spawners,Various,500+ magic numbers in spawn positions,Impossible to tune,30,Sprint 2,Not Started,,Extract to config
D017,Magic Numbers,P0,Combat systems,Various,150+ magic numbers in damage/cooldowns,Impossible to balance,20,Sprint 2,Not Started,,Extract to config
