"Component","Width","Height","Depth"
"Wall_4x4m","4","6.47213595499958","4"
"Wall_Corner_90deg","4","6.47213595499958","4"
"Archway_Gothic","4","7.99956004037948","4"
"Dome_Segment (×8)","1.618033988749895","4","1.618033988749895"
"Spire_Base","4","4","4"
"Spire_Mid","2.472","6.47213595499958","2.472"
"Spire_Top_MercuryBall","2","10.47213595499958","2"
"Column_Fluted","1","6.47213595499958","1"
"RoseWindow_Circular","6.47213595499958","6.47213595499958","0.1"
"Door_Main_Ornate","4","6.47213595499958","0.3"
"Foundation_Block","4","2","4"
